NewsSearchQuery1,NewsSearchTopic,NewsSource,NewsSearchDateTime
what's happening with the war in iraq,war in iraq,,
news on prime minister elections,prime minister elections,,
Find news about the weather.,weather,,
what is the news on current UN talks,current UN talks,,
find news about china going to war,china going to war,,
Find latest news about the stock market.,The stock market.,,
Find out about Zika news,Zika,,
Please tell me the news of the video music awards show,video music awards show,,
tell me stock market news,stock market,,
Show me an article on Trump's campaign.,Trump's campaign,,
Search for news on solipsism.,solipsism,,
What's the latest on the presidential race?,Presidential race,,
Find the latest  about the tsunami,tsunami,,
Latest updates on Indo-Pak conflict,Indo-Pak conflict,,
Whats new in the global news,global,,
"Omega, find news on the tension between Israel and Iran?",Tension between Israel and Iran,,
Please tell me news about the upcoming vote,vote,,
"Search for news about Flint, MI water crisis.","Flint, MI water crisis",,
Find me news on climate change,climate change,,
please find subject drone strikes in the news,drone strikes,,
Please find me a top news about the crash  from yesterday,crash,,
find news about trump drop in the polls,trump drop in the polls,,
tell me news about the upcoming championship game,championship game,,
What's the latest news on the crisis?,The crisis,,
find news about rioting in New York,rioting in New York,,
find article on Dakota Pipeline Protest,Dakota Pipeline Protest,,
Articles about Angelina and Brad,Angelina and Brad,,
Find me news about the Star Wars movie,star wars movie,,
FIND NEWS ABOUT FOOTBALL,FOOTBALL,,
Show me news from the War in Syria,War in Syria,,
Look up news on flooding in Iowa,Flooding in Iowa,,
find me news about oil spills,oil spills,,
what's in the news,,,
Find latest news on Hillary Clinton's health,Hillary Clinton's health,,
What's going on in Japan,Japan,,
Latest sports news,Sports news,,
News today about the tragedy in London,tragedy in London,,
find news about paris,paris,,
What's the news about Canada's winter this year?,Canada's winter,,
can I have news on stocks,stocks,,
find news about thanksgiving,thanksgiving,,
What happened in China yesterday?,China,,
latest news on parliament,parliament,,
show me news on the refugee crisis,refugee crisis,,
Update me on today's celebrity news.,celebrity,,
Tell me news about GamerGate,GamerGate,,
find news about christmas,christmas,,
show me soccer headlines,soccer,,
Give me news on Google's new messenger app Allo.,Google's new messenger app Allo.,,
find news on  the US 2016 Presidential Election debate dates,US 2016 Presidential Election debate dates,,
Omega news about police shooting,police shooting,,
Any news about the government in Spain?,the government in Spain,,
news about the Syria conflict,Syria conflict,,
Show me news about tropical storms in Florida,tropical storms in Florida,,
Find me news about the police shooting in Kentucky,police shooting in Kentucky,,
Tell me what's going on with H&M,H&M,,
Show news about sports,sports,,
can you tell me whats going on in the automotive industry today?,automotive industry,,
Tell me news about the fashion Round-Up,Fashion Round-Up,,
Tell me news about the food shortage,food shortage,,
find me news about cheese,cheese,,
what's going on with ISIS,ISIS,,
find news about terror attacks in New York this week,terror attacks in New York,,
Tell me news of the protests in France this week,protests in France,,
Please tell me news about Mother Theresa's canonization.,Mother Theresa's canonization.,,
find news on american idol,american idol,,
Whats the latest news on the cure for cancer?,cure for cancer,,
Find news about the state of emergency declared in San Francisco,State of emergency declared in San Francisco.,,
Tell me news about the golden globe awards,golden globe awards,,
What's the latest in Turkey?,Turkey,,
Current news for Microsoft,Microsoft,,
find news about North Dakota pipeline protests,North Dakota pipeline protests,,
find news about north dakota,north dakota,,
Search for news regarding Futurology on Google,Futurology,,
Find BBC news about Brexit,Brexit,BBC,
Whats the latest news about the fight,the fight,,
What's happening in Germany,Germany,,
Get me sports news.,sports,,
News about Clinton,Clinton,,
Can you help me find news about the unrest in Africa,unrest in Africa,,
Search news articles about human rights violations.,Human rights violations.,,
News about police brutality,Police brutality,,
find news about korea,korea,,
Open News app and find the latest news on sports,Sports,,
Find the latest news about Brad Pitt's divorce.,Brad Pitt's divorce,,
Today's News War in Syria,War in Syria,,
find news about modi,modi,,
tell me news about 2016 presidential elections in the US,2016 presidential elections in the US,,
Show latest news about Hillary Clinton,Hillary clinton,,
show me news about sport,Sport,,
Give me news about animal rights,animal rights,,
Read me the latest news about the presidential election.,presidential election,,
get me news about the earthquake,earthquake,,
tell me news about recent Earthquake nearby,Earthquake,,
what's the latest news on Game of Thrones ?,Game of Thrones,,latest
Tell me about the Current Sports News,Sports News,,
Read me articles about the Burlington gun attack,Burlington gun attack,,
search news about Kevin Garnett's retirement,Kevin Garnett's retirement,,
find the latest news on chromium hexavalent in Philadelphia water supply.,Chromium hexavalent in Philadelphia water supply.,,latest
List the latest sports news.,Sports,,
news on US elections,US Elections,,
List news about the president.,the president,,
news on the earthquake in China?,earthquake in China,,
Can you tell me news about Disney World?,Disney World,,
List me articles about Havana,Havana,,
find the latest news on Colombia.,Colombia,,latest
show news about the google glass premier,google glass premier,,
list me the latest news on Brexit,Brexit,,
Can you find news about Hillary Clinton's latest public appearance?,Hillary Clinton's latest public appearance,,
Tell me news about the mass shooting in Seattle,mass shooting in Seattle,,
Find news on earthquake in Romania today,earthquake in Romania,,
what going on with the EU,eu,,
search news about new graphics card lineup,new graphics card lineup,,
Read me the latest election news.,election,,latest
What's up in American politics,American politics,,
What's up with the latest Russian activities,russian activities,,
I want to learn more about the latest news,,,latest
What news are there today.,,,today
find news about haiti,haiti,,
Show me recent news articles.,,,
Find today's news.,,,
Show me the latest breaking news.,,,
Whats up with the presidential election,Presidential election,,
Show me all trending news stories.,,,
What's up with the drought yesterday?,drought,,
Find all local news from yesterday.,local,,
Give me some interesting current news,,,
What are the news ?,,,
find news on the election,election,,
What's going on in the world?,,,
Give me today's news.,,,
show me the hottest news in tech,tech,,
what are the hottest headlines,,,
I want to know about recent news stories.,,,
read news about los angeles,los angeles,,
Show me local news stories.,local,,
What is going on in the news?,,,
show me today's washington post,,washington post,
Tell me the news,,,
Omega tell me the latest news.,,,latest
What is today's news.,,,today's
What's the trending headlines,,,
Show me the latest news,,,latest
Find latest news.,,,latest
What is the top news as of the moment?,,,
What are the headlines from last night,,,
What is happening in the news today?,,,
Tell me any news from yesterday.,,,
show me news about macy's,macy's,,
Find the latest in news from Indiana.,Indiana,,
news from US,US,,
news from India,India,,
What are today's important national news stories?,important national news,,
read me news,,,
Give me news on current events.,,,
What are today's headlines?,,,
Leading news story for the world today?,,,
Show me recent news about NASA,NASA,,
news about kevin spencey,kevin spencey,,
NPR news,,NPR,
what's the latest in sports,sports,,
Can I get the news about the recent political race?,political race,,
show me breaking news,,,
What is going on with the presidential election?,presidential election,,
Check the latest news,,,latest
what's up with kanye west,kanye west,,
what's up with kim kardashian,kim kardashian,,
what's up with barry bonds,barry bonds,,
what's up with the presidential pardons,the presidential pardons,,
what's up with obama's medal of freedom,obama's medal of freedom,,
what's up with ellen degeneres at the white house,ellen degeneres at the white house,,
what's up with the fighting in syria,the fighting in syria,,
what's up with north dakota pipeline,north dakota pipeline,,
what's up with china cheating in the olympics,china cheating in the olympics,,
what's up with messed up presidential elections,messed up presidential elections,,
what's up with electoral college,electoral college,,
what's up with the traffic in LA,the traffic in LA,,
what's up with the iphone 7,the iphone 7,,
what's up with exploding samsung phones,exploding samsung phones,,
what's up with the samsung galaxy exploding,the samsung galaxy exploding,,
what's up with drake,drake,,
what's up with taylor swift,taylor swift,,
what's happening in iraq,iraq,,
what's happening in syria,syria,,
what's happening in china,china,,
what's happening in syrian politics,syrian politics,,
what's happening in mosul,mosul,,
what's happening in tel aviv,tel aviv,,
what's happening in shanghai with the pollution,shanghai with the pollution,,
what's happening in chicago with the gang shootings,chicago with the gang shootings,,
what's happening in chicago with the whole foods,chicago with the whole foods,,
what's happening in new york news,new york news,,
what's happening in music news,music news,,
what's happening in the chinese stock market,the chinese stock market,,
what's happening in the hong kong protests,the hong kong protests,,
what's happening in russia,russia,,
what's happening in tech news,tech news,,
what's happening with kanye west's tour,kanye west's tour,,
what's happening with the us election,the us election,,
what's happening with people getting deported,people getting deported,,
what's happening with the snow in new york,the snow in new york,,
What's happening with Drake,Drake,,
what's happening with beyonce,beyonce,,
what's happening with kanye west,kanye west,,
what's happening with justin bieber,justin bieber,,
what's happening with rihanna,rihanna,,
what's happening with justin timberlake,justin timberlake,,
what's happening with nicki minaj,nicki minaj,,
what's happening with paul mccartney,paul mccartney,,
what's happening with taylor swift,taylor swift,,
what's happening with eminem,eminem,,
what's happening with emma stone,emma stone,,
what's happening with jay z,jay z,,
what's happening with chance the rapper,chance the rapper,,
what's happening with emma watson,emma watson,,
what's happening with will.i.am,will.i.am,,
what's happening with paul mccartney,paul mccartney,,
what's happening with kesha,kesha,,
what's happening with ke$ha,ke$ha,,
what's happening with global warming,global warming,,
what's happening with justin bieber,justin bieber,,
what's happening with justin timberlake,justin timberlake,,
what's happening with justin trudeau,justin trudeau,,
what's happening with kobe bryant,kobe bryant,,
what's happening with kendall jenner,kendall jenner,,
what's happening with brad pitt,brad pitt,,
what's going on in texas,texas,,
what's going on in minnesota,minnesota,,
what's going on in manhattan,manhattan,,
what's going on in portland news,portland,,
what's going on in iraq news,iraq,,
what's going on in india with the money issue,india with the money issue,,
what's going on in burbank with the airport,burbank with the airport,,
what's going on in LAX with the delays,LAX with the delays,,
what's going on in chicago with the blizzard,chicago with the blizzard,,
what's going on in DC with the protests,DC with the protests,,
what's going on in the black lives matter movement,the black lives matter movement,,
what's going on in los angeles tech scene,los angeles tech scene,,
what's going on in manhattan's real estate,manhattan's real estate,,
what's going on in trump's cabinet,trump's cabinet,,
what's going on in obama's last days in the white house,obama's last days in the white house,,
what's going on in DC with the transition,DC with the transition,,
what's going on in new mexico,new mexico,,
what's going on in tulsa,tulsa,,
what's going on in munich,munich,,
what's going on with usher,usher,,
what's going on with will.i.am,will.i.am,,
what's going on with justin bieber,justin bieber,,
what's going on with maroon 5,maroon 5,,
what's going on with kanye west,kanye west,,
what's going on with alicia keys,alicia keys,,
what's going on with justin timberlake,justin timberlake,,
what's going on with adele,adele,,
what's going on with taylor swift,taylor swift,,
what's going on with lorde,lorde,,
what's going on with carrie underwood,carrie underwood,,
what's going on with selena gomez,selena gomez,,
what's going on with beyonce,beyonce,,
what's going on with selena gomez,selena gomez,,
what's going on with rihanna,rihanna,,
what's going on with paul mccartney,paul mccartney,,
what's going on with the rolling stones,the rolling stones,,
what's going on with mary j blige,mary j blige,,
what's going on with jamie king,jamie king,,
what's going on with the who,the who,,
what's going on with will.i.am,will.i.am,,
what's going on with the black eyed peas,the black eyed peas,,
what's going on with miley cyrus,miley cyrus,,
what's going on with drake,drake,,
what's going on with maroon 5,maroon 5,,
what's going on with pink,pink,,
what's going on with lady gaga,lady gaga,,
what's going on with the beatles,the beatles,,
what's going on with miley cyrus,miley cyrus,,
what's going on with eminem,eminem,,
what's going on with madonna,madonna,, 
what's going on with mariah carey,mariah carey,,
what's going on with skrillex,skrillex,,
what's the latest on tom brady,tom brady,,
what's the latest on beyonce,beyonce,,
what's the latest on skrillex,skrillex,,
what's the latest on justin bieber,justin bieber,,
what's the latest on justin timberlake,justin timberlake,,
what's the latest on rihanna,rihanna,,
what's the latest on drake,drake,,
what's the latest on usher,usher,,
what's the latest on lauryn hill,lauryn hill,,
what's the latest on erykah badu,erykah badu,,
what's the latest on lady gaga,lady gaga,,
what's the latest on fergie,fergie,,
what's the latest on maroon 5,maroon 5,,
what's the latest on carrie underwood,carrie underwood,,
what's the latest on will.i.am,will.i.am,,
what's the latest on john legend,john legend,,
what's the latest on ariana grande,ariana grande,,
what's the latest on selena gomez,selena gomez,,
what's the latest on britney spears,britney spears,,
what's the latest on tiny tempeh,tiny tempeh,,
what's the latest on chance the rapper,chance the rapper,,
what's the latest on adele,adele,,
what's the latest on kelly price,kelly price,,
what's the latest on childish gambino,childish gambino,,
what's the latest on miley cyrus,miley cyrus,,
what's the latest on french montana,french montana,,
what's the latest on jay z,jay z,,
what's the latest on kanye,kanye,,
what's the latest on kanye west,kanye west,,
what's the latest on dr dre,dr dre,,
what's the latest news on the strike,the strike,,latest
what's the latest news on the bombings in munich,the bombings in munich,,latest
what's the latest news on LA traffic,LA traffic,,latest
what's the latest news on the iphone 7,the iphone 7,,latest
what's the latest news on black Friday lines,black Friday lines,,latest
what's the latest news on thanksgiving,thanksgiving,,latest
what's the latest news on christmas deals,christmas deals,,latest
what's the latest news on the fighting in syria,the fighting in syria,,latest
what's the latest news on the turkish government,the turkish government,,latest
what's the latest news on the turkey being pardoned,the turkey being pardoned,,latest
what's the latest news on michael jordan,michael jordan,,latest
what's the latest news on skrillex,skrillex,,latest
what's the latest news on the kardashians,the kardashians,,latest
what's the latest news on kim being robbed in paris,kim being robbed in paris,,latest
what's the latest news on the kardashian burglary,the kardashian burglary,,latest
what's the latest news on rob and blac chyna,rob and blac chyna,,latest
what's the latest news on sports,sports,,latest
what's the latest in sports,sports,,latest
what's the latest in football,football,,latest
what's the latest in tech,tech,,latest
what's the latest in entertainment,entertainment,,latest
what's the latest in business news,business,,latest
what's the latest in politics,politics,,latest
what's the latest in art and design,art and design,,latest
what's the latest in celebrity gossip,celebrity gossip,,latest
what's the latest on the election,election,,latest
what's the latest on the war in turkey,the war in turkey,,latest
what's the latest on the explosion,the explosion,,latest
what's the latest on the missing flight,the missing flight,,latest
what's the latest on the missing kid,the missing kid,,latest
what's the latest on boko haram,boko haram,,latest
what's the latest on ISIS,ISIS,,latest
what's the latest on bill gates at davos,bill gates at davos,,latest
what's the latest on davos,davos,,latest
what's the latest on the economy,economy,,latest
what's going on with the economy,economy,,
what's going on with business news,business,,
what's going on with football scores,football,,
what's going on with golf,golf,,
what's going on with tiger woods new company,tiger woods new company,,
what's going on with nike,nike,,
what's going on with the chinese stock market,the chinese stock market,,
what's going on with flooding in new york,flooding in new york,,
what's going on with the missing kid in texas,the missing kid in texas,,
what's going on with the confict between japan and china,the confict between japan and china,,
what's going on with hong kong protesters,hong kong protesters,,
what's going on with the weather in rio,the weather in rio,,
what's going on with the crazy weather in los angeles,the crazy weather in los angeles,,
what's going on with floods in india,floods in india,,
what's going on with the money thing in india,the money thing in india,,
what's going on with the kanye west tour,the kanye west tour,,
show me headlines for kanye west,kanye west,,
show me headlines for tech,tech,,
show me headlines for weather,weather,,
show me headlines for new york,new york,,
show me headlines for chicago,chicago,,
show me headlines for los angeles,los angeles,,
show me headlines for the game last night,the game last night,,
show me headlines for basketball  news,basketball  news,,
show me headlines for syria,syria,,
show me headlines for the election,the election,,
show me headlines for the war,the war,,
show me headlines for the missing flight,missing flight,,
show me headlines for dallas,dallas,,
show me headlines for fashion,fashion,,
show me headlines for business,business,,
tell me the latest in tech,tech,,latest
tell me the latest in entertainment news,entertainment,,latest
tell me the latest tech news,tech news,,latest
tell me the latest in celebrity gossip,celebrity,,latest
tell me the latest celeb news,celeb news,,latest
tell me the latest in business news,business,,latest
tell me the latest in politics,politics,,latest
tell me the latest in german politics,german politics,,latest
tell me the latest on brexit,brexit,,latest
tell me the latest in EU news,EU news,,latest
tell me the latest economic news,economic news,,latest
tell me the latest fashion news,fashion news,,latest
tell me the latest in fashion news,fashion,,latest
tell me the latest in technology news,technology,,latest
show me the latest tech headlines,tech,,latest
show me the latest entertainment headlines,entertainment,,latest
show me the latest election headlines,election,,latest
show me the latest syria headlines,syria,,latest
show me the latest los angeles headlines,los angeles,,latest
show me the latest gossip headlines,gossip,,latest
show me the latest fashion headlines,fashion,,latest
show me the latest iphone 7 headlines,iphone 7,,latest
show me the latest amazon echo headlines,echo,,latest
show me the latest politics headlines,politics,,latest
show me the latest in fashion headlines,fashion,,latest
show me the latest technology headlines,technology,,latest
show me the latest chicago headlines,chicago,,latest
show me the latest business headlines,business,,latest
show me the latest stock market headlines,stock market,,latest
show me the latest sports headlines,sports,,latest
find news about the presidential election,presidential election,,
find news about the oil crisis,oil crisis,,
find news about the game,game,,
find news about the world series,world series,,
find news about the cubs,cubs,,
find news about the chicago bulls,chicago bulls,,
find news about harambe,harambe,,
find news about the presidential medal of honor,the presidential medal of honor,,
find news about michael jordan,michael jordan,,
tell me news about the kennedy center honors,the kennedy center honors,,
tell me news about the met gala,met gala,,
tell me news about the merger,the merger,,
tell me news about snapchat glasses,snapchat glasses,,
tell me news about snapchat IPO,snapchat IPO,,
tell me news about facebook fake news,facebook fake news,,
tell me news about mark zuckerberg,mark zuckerberg,,
tell me news about will.i.am,will.i.am,,
tell me news about the black eyed peas,the black eyed peas,,
tell me news about china,china,,
News update on Friday's Campaign Round-Up,Campaign Round-UP,,Friday's
Give news on thailand's new king,thailand's new king,,
Provide hollywood news,hollywood,,
Give more news information about telecom fraud in china,telecom fraud in china,,
Show news on recent changes Reserve Bank had made,changes Reserve Bank had made,,
Provide news on firing near the army camp in Nagrota,firing near the army camp in Nagrota,,
Give me news update on Kanpur train accident,Kanpur train accident,,
Search for news on the presidental debate,the presidental debate,,
Show news on Sheena bora's murder case,Sheena bora's murder case,,
Give the news on availability of natural resources,availability of natural resources,,
What is happening in U.S. today?,U.S.,,today
News update on Friday's Campaign Round-Up,Campaign Round-UP,,Friday's
Give news on thailand's new king,thailand's new king,,
Provide hollywood news,hollywood,,
Give more news information about telecom fraud in china,telecom fraud in china,,
Show news on recent changes Reserve Bank had made,changes Reserve Bank had made,,
Provide news on firing near the army camp in Nagrota,firing near the army camp in Nagrota,,
Give me news update on Kanpur train accident,Kanpur train accident,,
Search for news on the presidental debate,the presidental debate,,
Show news on Sheena bora's murder case,Sheena bora's murder case,,
Give the news on availability of natural resources,availability of natural resources,,
What is happening in U.S. today?,U.S.,,today
get me news about him,him,,
what's the latest on her,her,,
what's up with them,them,,
what's the latest on that group,group,,
what's the latest news about that artist,that artist,,
what are they up to now,they,,
what's going on with them,them,,
whats going on with him,him,,
whats going on with her,her,,
whats up with him,him,,
tell me the latest about them,them,,
give me the news about the singer,the singer,,
what is happening with them,them,,
what is happening with her,her,,
give me a news update about the group,group,,
give me the headlines about him,him,,
what is their latest news,their,,
Show me the news about miss world,miss world,,
give me news about the amazon river,amazon river,,
Show me news about US elections,US elections,,
whats's the news about Mexico elections,Mexico elections,,
