BusinessSearchResponse,BusinessSearchKeyword,BusinessSearchLocation,BusinessSearchPrice,BusinessSearchSortBy
where to get drinks in miami ,drinks ,miami ,,
Where is the nearest bar?,bar ,,,
"Find bars and pubs in Annapolis, Maryland",bars,"Annapolis, Maryland",,
Any good bars in riverside?,bars,riverside,,
find popular bars in New York,bars,New York,,
Please list bars in Cleveland.,bars,cleveland,,
Get me a list of bars in midtown Manhattan,bars,midtown Manhattan,,
Find bars in downtown,bars,downtown,,
Find all bars in big flats,bars,Big flats,,
Find bars in downtown Indy,bars,downtown Indy ,,
Find me bars in Garnerville ny,bars,Garnerville ny,,
"What are the best bars in Youngstown, Ohio?",bars,"Youngstown, Ohio",,
"Find me bars around Dallas, TX",bars,"Dallas, TX",,
Find most popular bars or clubs in Osage Beach MO,bars,Osage Beach MO,,
"Find bars in Pittsburgh, PA.",in,"Pittsburgh, PA",,
find bars in area: Maceio,bars,Maceio,,
"Find a bar with live blues music in Royal Oak, Michigan",bar with live blues music ,"Royal Oak, Michigan",,
Find me location of  bars in Mumbai,bars,Mumbai,,
where can I get a drink ,drink ,,,
where can I get drinks near cheltenham town centre,drinks,Cheltenham town centre,,
where can I get drinks in downtown portland oregon ,drinks ,Downtown Portland Oregon,,
find drinks in los angeles ,drinks,los angeles,,
find drinks around here ,drinks,,,
where to get a drink in georgia  ,drink,Georgia,,
where can I get drinks in banjara hills ,drinks ,banjara hills,,
where can I get drinks in montrose houston area ,drinks,Montrose Houston area,,
where can I get drinks in Tokyo ,drinks,Tokyo,,
where to buy drinks in Madtree ,drinks ,Madtree,,
where to buy drinks in Paris near the Eiffel Tower ,drinks ,Paris near the Eiffel Tower.,,
where can I get a drink in Auckland ,drink ,Auckland,,
where can I get a drink in downtown dothan ,drink ,downtown Dothan,,
find a place to get cocktails in WOODBRIDGE ,cocktails ,Woodbridge,,
"I need cocktails in Aurora, CO",cocktails ,"Aurora, CO",,
List cocktails in Decatur.,cocktails ,Decatur.,,
"where to get cocktails in Manhattan, New York City.",cocktails ,"Manhattan, New York City.",,
where to get a cocktail at New York.,cocktail,New York,,
Siri can you show a place for cocktail located in Bensalem,cocktail,Bensalem,,
What cocktail bars are in Chinatown?,cocktail bars ,Chinatown,,
where to get a cocktail down town ,cocktail,down town ,,
where to get boba in atlanta ,boba ,atlanta,,
Find teahouses in San Diego ,teahouses ,San Diego,,
Can you look for tea on Chippewa street?,tea,Chippewa street,,
Show me the list of hair salons in Clarke Quay,hair salons ,Clarke Quay,,
Just find nightlife bars in Maryland,nightlife bars ,Maryland,,
Find nightclubs in Toledo.,nightclubs ,Toledo,,
Show me the best bar in the area,bar,,,
Show me bars in my area.,bars,,,
Where can we go to get a drink ?,drink,,,
Best bars near me,bars,,,
Find current happy hour events.,happy hour ,,,
find happy hour in miami ,happy hour ,miami,,
find closest happy hours ,happy hours ,,,
where can I grab a drink ,drink ,,,
where can I grab a drink in houston ,drink ,houston ,,
find a gin joint in hollywood ,gin joint,hollywood ,,
find a gin joint in or near bangalore,gin joint,bangalore,,
Where can we get a drink near here,drink ,,,
find places to get drinks in Atlanta,drinks,atlanta ,,
Find salons in little tokyo ,salons,little tokyo ,,
find me a pet supply store near the grove ,pet supply store,the grove ,,
find car repair in beverly hills,car repair,beverly hills,,
Where is the best bar in London?,bar,London ,,
What are the best bars in downtown Portland?,bars,Downtown Portland ,,
find ruth's chris steakhouse in st louis ,ruth's chris steakhouse,st louis ,,
find halloween costumes in los angeles ,halloween costumes,los angeles,,
Cocktails in St. Louis,cocktails ,st. louis ,,
find pumpkin picking in irvine ,pumpkin picking ,irvine ,,
Bars around me,bars ,,,
shop for wedding gowns in malibu ,wedding gowns ,malibu,,
shop for boba tea in japan town ,boba tea,japan town ,,
"Siri, we need a place to get drinks in Nashville Tennessee.",drinks,nashville tennessee,,
Look for nightlife spots in Lagos.,nightlife ,lagos ,,
find irish pubs in los angeles,irish pubs ,los angeles,,
find irish pubs in las vegas ,irish pubs ,las vegas,,
fing irish pubs in miami ,irish pubs ,miami,,
Where is the best place to get drinks near here?,drinks,,,
Find me the best cocktail lounges in the area.,cocktail lounges ,,,
I need you to find bars in my area thanks,bars ,,,
where should I go out for a drink,drink,,,
"Locate bars near Pasadena, California.",bars,pasadena california ,,
find closest bar to current location,bar ,,,
find a place to grab a drink ,drink ,,,
Where is a good place for drinks near me?,drinks ,,,
Places to have a drink in William road,drink ,william road ,,
Assistant please find me a nearby happy hour.,happy hour ,,,
drinks near me ,drinks,,,
"Where can I get drinks in Annapolis, Maryland?",drinks,"annapolis, maryland ",,
where should we get drinks in riverside?,drinks ,riverside ,,
What's the best pub to hang out at,pub ,,,
Where is the closest bar in Cleveland?,bar,cleveland,,
What are some bars near me?,bars ,,,
What is a good spot for drinks near work?,drinks,,,
find coffee shop in hollywood ,coffee shop ,hollywood ,,
Where is the best place to drink in Indy?,drink ,indy ,,
Find me a place to get some drinks,drinks,,,
Where could I find guinness in this town,guinness,,,
where can I drink whiskey in houston ,whiskey ,houston,,
where can I drink craft beer in austin ,craft beer ,austin ,,
where can I get craft beer in austin ,craft beer ,austin,,
where can I drink smoothies in austin ,smoothies ,austin ,,
where can I get boba tea in chicago chinatown ,boba tea,chicago chinatown ,,
where can I drink craft whiskey in houston ,craft whiskey ,houston ,,
where can I get bourbon in los angeles ,bourbon ,los angeles,,
find barber shops in los angeles,barber shops ,los angeles ,,
find pet shops in miami florida,pet shops,miami florida,,
find craft beer in hollywood los angeles ,craft beer,los angeles,,
find american girl store in chicago ,american girl store,chicago,,
find bloomingdales in los angeles ,bloomingdales ,los angeles,,
find louis vuitton store in london ,louis vuitton,london,,
find consignment shops in victoria london ,consignment shops,victoria london,,
find knitwear shops in dublin ,knitwear shops,dublin,,
find concert venues in west hollywood ,concert venues,west hollywood,,
find community colleges in east la ,community colleges,east la,,
find mechanics in boyle heights ,mechanics ,boyle heights,,
find watch repair in hong kong ,watch repair,hong kong,,
find motels in los angeles ,motels ,los angeles,,
find gas stations in venice beach ,gas stations,venice beach,,
find HR block near beverly hills ,HR block,beverly hills,,
find recycling centers in london ,recycling centers,london,,
find cocktail bars in new haven ,cocktail bars,new haven,,
find nightclubs in malibu ,nightclubs ,malibu ,,
find nobu in malibu ,nobu ,malibu ,,
find the nobu in west hollywood ,nobu ,west hollywood,,
find limo services in town ,limo services,,,
where can I buy cupcakes ,cupcakes ,,,
where can I buy cupcakes in hollywood ,cupcakes,hollywood,,
find pharmacies in london ,pharmacies ,london,,
find walgreens in hollywood ,walgreens ,hollywood,,
find a CVS in east LA ,CVS,east LA,,
find a liquor store in beverlywood ,liquor store ,beverlywood ,,
find the shake shack in west hollywood ,shake shack ,west hollywood,,
find the in and out near LAX,in and out ,lax,,
find the carmax near culver city ,carmax,culver city,,
find the walmart near baldwin hills ,walmart,baldwin hills,,
find the bakery near beverly hills ,bakery,beverly hills,,
find the pavillions near hollywood ,pavillions,hollywood,,
find the starbucks near sunset ,starbucks ,sunset,,
find the petsmart near beverly hills,petsmart,beverly hills,,
find the guisados near echo park ,guisados,echo park,,
find the museum near the grove ,museum,the grove,,
find the museum near downtown LA ,museum,downtown LA,,
find the coffeeshop near la brea ,coffeeshop,la brea,,
Where can I find KFC in hamburg,KFC,hamburg,,
Find coffee,coffee,,,
Find a vet,vet,,,
find verternarians,verternarians,,,
Find veternarians nearby,veternarians,nearby,,
Find Spa,Spa,,,
Find spa nearby,spa,nearby,,
Find Supermarket,Supermarket,,,
Find foot reflexology,foot reflexology,,,
find car wash there,car wash,there,,
find gas stations there,gas stations,there,,
find some bars there,bars,there,,
Find hospitals there,hospitals,there,,
find spas there,spas,there,,
find starbucks there,starbucks ,there,,
find pavillions there,pavillions,there,,
find target there,target,there,,
Find me a hindu temple in london,hindu temple,london,,
Find me a methodist church in boston MA,methodist church,boston MA,,
Find me a mosque in Madrid,mosque,Madrid,,
Find me a library in paris,library,paris,,
Find me a dermatologist in new york,dermatologist,new york,,
Show me party planners nearby,party planners,nearby,,
Show me MBA colleges in Berlin,mba colleges,Berlin,,
Find me a car service in chicago,car service,chicago,,
Find rental cars in SF,rental cars,SF,,
Find me a police station in Chicago,police station,Chicago,,
Key repair shop in london,key repair shop,London,,
Find me a locksmith,locksmith,,,
Show me the best doctor for arthritis in miami,best doctor for arthritis,miami,,
Show me medical schools in Dallas,medical schools,Dallas,,
Find polytechnic universities in California,polytechnic universities,California,,
Show me a nail bar in new york,nail bar,new york,,
Find me a Louis Vuitton store in Munich,Louis Vuitton store,Munich,,
Find an apple store in hamilton,apple store,hamilton,,
Find me an organic store in hanover,organic store,hanover,,
Show me swimming complexes in beijing,swimming complexes,beijing,,
Find me yoga classes in Bonn Germany,yoga classes,Bonn Germany,,
Find me gyms in New Jersey,gyms,New Jersey,,
Find me a mechanic in hong kong,mechanic,hong kong,,
Find me a fish spa in shenzhen,fish spa,shenzhen,,
Find me a thai massage centre in guangzhou,thai massage centre,Guangzhou,,
Find me wedding halls in New York,wedding halls,New York,,
Find me a plumber in the UK,plumber,UK,,
Find me a plumber in berlin,plumber,Berlin,,
Find me a gardener/maid agency in berlin,gardener/maid agency,Berlin,,
Find travel agents nearby,travel agents,nearby,,
Find hot yoga classes in LA,hot yoga,LA,,
Find hyundai car service center in boston,hyundai car service center,boston,,
Show me an H&M near me,H&M,near me,,
Find louis vuitton store in NY,louis vuitton,NY,,
Find ralph lauren store in Boston,ralph lauren,boston,,
Find me a psychologist in New Jersey,psychologist,New Jersey,,
show me graduate schools in New Hampshire,graduate schools,New Hampshire,,
Find kindergartens,kindergartens,,,
Find schools,schools,,,
Find doctors,doctors,,,
Find McDonald's nearby,McDonald's,nearby,,
Find travel agents near by,travel agents,near by,,
FIND A PARTY PLANNER,party planner,,,
Find a nutritionist,nutritionist,,,
find me an Indo Islamic mosque in New Delhi,indo islamic mosque,New Delhi,,
Find a persian temple in new york,persian temple,new york,,
Find expensive museums,museums,,,expensive
Find top lawyers,lawyers,,,top
show me good law firms in chicago,law firms,chicago,,good
Find doctor,doctor,,,
Find beauty saloons,beauty saloons,,,
Show me salons,salons,,,
Find me Indian beauty parlour in LA,indian beauty parlour,LA,,
Find me Chinese Methodist church in Boston,Chinese methodist church,Boston,,
Show gyms for women,gyms for women,,,
Find gyms with childcare in LA,gyms with childcare,LA,,
Find swimming pools,swimming pools,,,
Find church,church,,,
Find a interior decorator,interior decorator,,,
SHOW me the closest SUPERMARKET,supermarket,closest,,
find a kids saloon,kids  saloon,,,
