RestaurantSearchResponse,RestaurantSearchCuisine,RestaurantSearchLocation,RestaurantSearchPrice,RestaurantSearchSortBy
Show me San Diego's top rated Thai restaurant.,Thai,San Diego,,top rated
What restaurants are good around me?,,around me,,
CAN YOU RECOMMEND A GOOD CHINESE RESTAURANT IN NORTH LAS VEGAS?,Chinese,NORTH LAS VEGAS,,
Find Cambodian restaurants in Long Beach,Cambodian,Long Beach,,
Are there vegetarian Italian restaurants in Trivandrum?,vegetarian Italian,Trivandrum,,
Find me yelp recommendations for an italian restaurant near here,italian,near here,,
"Show me the best restaurants in Times Square, New York",,"Times Square, New York",,best
chinese restaurants in my area,chinese,my area,,
Food in my current location,,current location,,
Which restaurants are near my hotel,,near my hotel,,
"highest rated italian food, on yelp, in DC",italian,DC,,highest rated
"What are the best Chinese buffets in Biloxi, Mississippi based on reviews on Yelp?",Chinese,"Biloxi, Mississippi",,best
List New York steak restaurants,steak,New York,,
find my local burger restaurant,burger,local,,
yelp mexican restaurant cleveland,mexican,cleveland,,
List restaurants near my location with a 4 star rating or above,,near my location,,4 star rating
Chinese food restaurants,Chinese,,,
fast food in cape coral florida,fast food,cape coral florida,,
please find close chinese food,chinese,close,,
Search Yelp for top rated places in Virginia Beach,,Virginia Beach,,top rated
pizza restaurants near  san diego,pizza,san diego,,
top seafood restaurants south of boston,seafood,south of boston,,
Find the closest restaurant to me that has Filet Mignon.,filet mignon,closest,,
Hot dog restaurants in Tupelo Mississippi?,hot dog,Tupelo Mississippi,,
Find local Chinese food restaurants with a 4 star rating or better.,Chinese,,,4 star
where can i eat mexican food ,mexican,,,
"open yelp. search for indian restaurants in boston, massachusetts.",indian,"boston, massachusetts",,
Find barbeque restaurants in Culver City,barbeque,Culver City,,
"Where is Mexican restaurant near Chicago, IL",Mexican,"Chicago, IL",,
is there any other restaurant which has noodles,noodles,,,
Find the best barbeque in Pasadena,barbeque,pasadena,,
Is there a 4 star seafood restaurant in Seattle?,seafood,Seattle,,4 star
Any good Italian restaurants in Budapest?,Italian,Budapest,,
Where can I get something to eat in Meadville with good reviews?,,Meadville,,
"Find five-star restaurants in Murray, Kentucky please",,"Murray, Kentucky",,five-star
Thai restaurants near me,Thai,near me,,
I need to find a good indian restaurant in London.,indian,London,,
Show best restaurants for continental food,continental,,,best
where should I eat pizza tonight?,pizza,,,
Show me Yelp reviews for Italian restaurants in Philadelphia,Italian,Philadelphia,,
Show me good Chinese restaurants,Chinese,,,
find indian food near by,indian,near by ,,
Suggest me few good indian restaurants near by.,indian,near by ,,
Any nice place to dine nearby?,,nearby,,
show me korean bbq near me,korean bbq,near me,,
Casual dining restaurants Washington DC,,Washington DC,casual,
"ok google, what does yelp say are good places to eat in my area",,in my area,,
"Hi Siri, where should I go for best Chinese food in Northern Virginia according to Yelp?",Chinese,Northern Virginia,,best
Are there any good Chinese food restaurants close to me?,Chinese,close to me,,
Give me the yelp ratings for restaurants on main street,,main street,,
Recommendations for Jamaican food,,Jamaican,,
Find the best rated restaurant in my town,,my town,,best rated
chinese food new york yelp recommendations,chinese,new york,,
Cheap Peruvian food in littleton,Peruvian,Littleton,cheap,
"What are some highly rated restaurants in Chelsea, NY?",,"Chelsea, NY",,highly rated 
Buffet less than 30 bucks per person along the way to New York.,buffet,New York,less than 30 bucks,
Find restaurants within one mile,,One mile,,
"Mexican restaurants Cleveland, OH",Mexican,"Cleveland, OH",,
Best mexican food near me,mexican,near me,,
Show me best Chinese food in downtown San Francisco,Chinese,downtown San Francisco,,
"Boba tea in hampton, va",Boba tea,"hampton, va",,
Vancouver sushi restaurants,sushi,Vancouver,,
where can I find seafood places with good reviews within 20 minutes of driving,seafood,,,
I am getting hungry,,,,
Open Yelp and tell me what restaurants have 5 star reviews in southport nc.,,"Southport, NC",,5 star reviews
What are the nearest fast food places?,fast food,nearest,,
please recommed italian restaurants near my current location,italian,near my current location,,
provide me the list of McDonalds in California,McDonalds,California,,
Find closest restaurant,,closest,,
"Yelp, restaurants near me that have seafood.",seafood,near me,,
Find Asian restaurants in Nob Hill,Asian,Nob Hill,,
Open yelp and find a resteraunt with a rating higher than 4 stars within 10 miles of my location,,within 10 miles,,higher than 4 stars
BEST CHINESE FOOD IN GRAND PRAIRIE,chinese,GRAND PRAIRIE,,best
Locate Italian restaurants nearby,Italian,nearby,,
Check Yelp for highly recommended restaurant in the area.,,,,highly recommended
Highly rated Italian Restaurants located in New York City,Italian,New York City,,highly rated
Show me Upland restaurants on Yelp,,Upland,,
Pizza  from a restaurant in Yelp,pizza,,,
What is the best Indian restaurant near me?,indian,Near me,,best
What restaurants near me have vegan food,vegan,near me,,
Yelp recommended restaurants,,,,
Suggest a restaurant with a least four stars on Yelp,,,,four stars
"I need all information for restaurants for Princeton, WV that have ratings of at least 4.",,"Princeton, WV",,ratings of at least 4
What restaurants near me have 4 or more stars on yelp?,,near me,,4 or more stars
search for top ramen restaurants ,ramen,,,top
Find three star restaurants in Columbia.,,Columbia,,three star
What's the closest vegan restaurant?,vegan,closest,,
Searching by giving as Indian Vegetarian place at Strathfield,Indian Vegetarian,Strathfield,,
I want to find a good Italian restaurant.,Italian,,,
What are the best Chinese restaurants in Paris?,Chinese,Paris,,
mexican restaurants near me,mexican,near me,,
where can get chicken burgers in charlotte,burgers,charlotte,,
What Vietnamese restaurants are in the area?,vietnamese,,,
"Find a mexican food restaurant near 567th street,San Diego.",mexican,567th street San Diego ,,
Find Yelp pages for restaurants in New York,,New York,,
Best sushi restaurants on yelp near me,sushi ,Near me,,
recommend me italian restaurants near 5th avenue,italian,5th avenue,,
Search for the best Italian restaurant in New York on Yelp.,italian,New York,,best
Where is the best Chinese restaurant close to me?,chinese,close,,best
What are the best restaurants around me on yelp,,around me,,best
Best rated restaurants near me,,near me,,best rated
I am hungry,,,,
find closest mcdonalds on yelp,mcdonalds,closest,,
"Where is the nearest fast food in lafayette, Indiana",fast food,"lafayette, indiana",,
Where can I eat authentic Chinese food in this area?,Chinese,this area,,
take me to closest chinese restaurant from present location,Chinese,closest,,
Can you tell me a good Indian restaurant near here?,indian,near here,,
"Search on Yelp for the best Pizza Place in Weston, Florida",Pizza,"Weston, Florida",,best
show me Italian restaurants with 3 stars or higher near 11224,italian,11224,,3 stars or higher
find italian food near me on yelp,italian,near me,,
I need Chinese food in Daytona,Chinese,Daytona,,
What are the top 10 seafood restaurants nearby.,seafood,nearby,,top
Find pizza restaurants near me.,pizza,near me,,
near by restaurants,,near by,,
What's the best Indian restaurant close by?,Indian,Close by,,best
What are the best restaurants near me?,,near me,,best
Give the specific details of Subway restaurants in New York,subway,New York,,
find best Italian restaurant on Broadway,italian,Broadway,,best
list of restaurant in yelp,,,,
open french food at Paris low price,french,Paris,low price,
Yelp 5 star restaurants nearby.,,Nearby,,5 star
What is a good restaurant in Houston Texas,,Houston Texas,,
Yelp's best Indian cuisine restaurant in time square?,Indian,Time Square,,best
Highest rated restaurants in the area,,in the area,,highest rated
yelp the best Poke restaurants nearby ,Poke,nearby,,
Show me top rated restaurants in the area.,,in the area ,,top rated
Locate the closest steakhouses with a 5 star rating on Yelp within 6 minutes of my location.,steakhouses,closest,,5 star rating
What is the highest rated restaurant near me,,near me,,highest rated
Open Yelp and find the best Chinese restaurant in my area.,Chinese,in my area,,best
Please find restaurant near Pico Blvd Los Angeles,,Pico Blvd Los Angeles,,
Find recommendation on the best Cuban restaurants,Cuban,,,
5 star restaurants,,,,5 star
best rated pizza in courtice,pizza,courtice,,best rated
What are some Thai restaurants open near me right now?,Thai,Near me,,
What is the closest fast food restaurant?,fast food,closest,,
find all italian restaurants in madison,italian,madison,,
find an italian restaurant within 25 miles that has a rating of 4 stars or higher,italian,,,4 stars or higher
What is the address of the nearest family restaurant to the airport in San Francisco.,,airport in San Francisco,,
Find me places to eat in San Antonio.,,San Antonio,,
Advise italian restaurants,italian,,,
I'm feeling hungry,,,,
Find pizza in New York on Yelp,pizza,New York,,
Use Yelp to find a good Chinese restaurant in my area.,Chinese,my area,,
Where's the nearest Italian restaurant?,italian,nearest,,
Find the the five nearest seafood restaurant with atleast 4 star user ratings,seafood,nearest,,4 star
"Find me a restaurant that serves breakfast in Bayonne, New Jersey.",breakfast,"Bayonne, New Jersey",,
Top rated restaurants near me,,near me,,top rated
Show me the best cheap Cuban restaurants in Miami,Cuban,Miami,cheap,best
Where can I find the best cheapest tacos ,tacos,,cheapest,best
Show me top burritos for cheap,burritos ,,cheap,top
Where can I get the most amazing friend chicken,friend chicken,,,most amazing 
Look for chicken and waffles restaurants ,chicken and waffles ,,,
Find Poke restaurants in London,poke,London,,
Show me the most expensive French restaurant ,French,,most expensive,
Show me British restaurants around here,British,around here ,,
Find a good gastropub in downtown LA,gastropub ,downtown LA,,
Where can I get afternoon tea,afternoon tea ,,,
Find me the fanciest coffee shop in Los Angeles,coffee ,Los Angeles,fanciest ,
Where can I get some coffee near here,coffee ,near here,,
Where can I get smoothies,smoothies,,,
I'm super hungry,,,,
Find a restaurant that serves milkshakes,milkshakes,,,
Where can I get a burger around here,burger,around here,,
Looking for place to eat sandwiches,sandwiches,,,
Look for sandwich shops nearby,sandwich,nearby,,
Find Brazilian restaurants in my hood,Brazilian ,my hood,,
Show me the best Korean food in Chicago,Korean,Chicago,,
Find me a good italian restaurant for a date,italian,,for a date,
Yelp search for top steakhouses near the Grove,steakhouses,the Grove,,top
Find me the best restaurants for sushi in Hollywood,sushi,Hollywood,,best
Show me the best vegan restaurants that are not too expensive,vegan,,not too expensive,best
I'm hungry for some Japanese food in Sawtelle,Japanese,Sawtelle,,
I'm so hungry,,,,
I'm very hungry,,,,
I'm hungry for burgers tonight,burgers,,,
I'm craving some Italian food,Italian ,,,
I'm craving Indian food tonight,Indian,,,
I'm in the mood for some sushi,sushi,,,
I'm craving Chinese food lately,chinese,,,
Look for dining out options Chinese food,Chinese,,,
Dining out options for vegetarians,vegetarians,,,
Fine dining Italian food,Italian,,fine dining,
I'm really hungry,,,,
Look for fine dining options in San Francisco,,,fine dining,
Look for high end sushi restaurants in Los Angeles,sushi,Los Angeles,high end,
Look for the best barbeque joints in Baldwin Hills,barbeque,Baldwin Hills,,best
Is there any Singaporean restaurants in Los Angeles,Singaporean,Los Angeles,,
Find kosher restaurants in new orleans,kosher,new orleans,,
Look up fine dining Mexican restaurants ,mexican,,fine dining,
Look up high end Chinese restaurants in Arcadia,chinese,Arcadia,high end,
Find restaurants that would be good for a business meeting,,,business meeting,
I'M HUNGRY,,,,
Where can I find KFC in hamburg,KFC,hamburg,,
Find me halal restaurants in Berlin,Halal,Berlin,,
I want some food,,,,
nearby restaurants,,nearby,,
near by restaurants,,near by,,
find restaurants near me,,near me,,
show me restaurants there,,there,,
find restaurants there,,there,,
get a list restaurants there,,there,,
find dinner places there,,there,,
recommend a pre-show dinner place nearby,,nearby,,
recommend a place for dinner nearby,,nearby,,
find restaurants nearby ,,nearby,,
find places to eat nearby ,,nearby,,
what is a good place for dinner nearby,,nearby,,
find mexican restaurants there,mexican,there,,
find dinner places there,,there,,
recommend a sushi place nearby,sushi,nearby,,
recommend an italian place for dinner there,italian,there,,
find mexican restaurants there,mexican,there,,
show me good seafood place there,seafood,there,,
what is a good place for chinese food there,chinese,there,,
Find something cheap to eat there,,there,cheap,
show me good food to eat there,,there,,
find vegetarian italian restaurants in London,vegetarian italian,London,,
Find me halal chicken restaurants in Dallas Texas,halal chicken,Dallas Texas,,
show me korean bbq place in koreatown LA,korean bbq,koreatown LA,,
find chicken and waffles nearby,chicken and waffles,nearby,,
Could you find south Indian restaurants in denver for me,south Indian,denver,,
